date, pm25, pm10, o3, no2, so2, co
2022/3/20, 148, 76, 7, 20, 3, 10
2022/3/21, 143, 83, 10, 17, 3, 10
2022/3/22, 157, 76, 29, 15, 3, 10
2022/3/23, 148, 95, 51, 22, 6, 10
2022/3/24, 149, 83, 27, 16, 4, 7
2022/3/25, 106, 78, 34, 15, 4, 3
2022/3/26, 79, 125, 25, 21, 5, 5
2022/3/27, 119, 118, 29, 22, 4, 6
2022/3/28, 138, 101, 18, 25, 4, 6
2022/3/29, 125, 115, 7, 31, 5, 8
2022/3/30, 137, 104, 24, 23, 5, 8
2022/3/31, 129, 93, 31, 28, 4, 7
2021/10/1, 69, 58, 47, 16, 3, 7
2021/10/2, 99, 67, 30, 11, 3, 7
2021/10/3, 122, 15, 22, 2, 3, 2
2021/10/4, 35, 6, 16, 3, , 2
2021/10/5, 23, 9, 9, 9, 3, 5
2021/10/6, 20, 26, 14, 11, 3, 7
2021/10/7, 56, 39, 10, 11, 3, 6
2021/10/8, 72, 34, 17, 7, 3, 4
2021/10/9, 62, 19, 20, 3, , 1
2021/10/10, 41, 27, 12, 10, 3, 2
2021/10/11, 43, 46, 8, 11, , 3
2021/10/12, 66, 51, 25, 8, 3, 3
2021/10/13, 71, 32, 19, 8, 2, 1
2021/10/14, 51, 34, 22, 10, 2, 2
2021/10/15, 60, 35, 28, 9, 3, 1
2021/10/16, 65, 54, 5, 17, 3, 2
2021/10/17, 76, 61, 24, 12, 3, 3
2021/10/18, 82, 72, 4, 19, 3, 4
2021/10/19, 119, 43, 14, 12, 2, 4
2021/10/20, 68, 35, 30, 10, 3, 3
2021/10/21, 50, 45, 17, 19, 3, 4
2021/10/22, 66, 73, 8, 19, 3, 5
2021/10/23, 115, 83, 34, 16, 3, 7
2021/10/24, 122, 93, 18, 22, 3, 6
2021/10/25, 127, 48, 28, 8, 3, 4
2021/10/26, 75, 43, 6, 19, 3, 4
2021/10/27, 106, 59, 28, 13, 3, 5
2021/10/28, 98, 46, 20, 15, 3, 6
2021/10/29, 69, 67, 27, 19, 3, 6
2021/10/30, 103, 53, 21, 17, 3, 5
2021/10/31, 83, 75, 2, 19, 3, 6
2021/11/1, 115, 81, 37, 15, 4, 6
2021/11/2, 110, 75, 25, 20, 4, 6
2021/11/3, 115, 114, 11, 30, 3, 8
2021/11/4, 148, 141, 31, 23, 4, 10
2021/11/5, 170, 124, 19, 3, 3, 4
2021/11/6, 62, 40, 29, 6, 3, 1
2021/11/7, 32, 54, 20, 19, 3, 1
2021/11/8, 69, 52, 30, 16, 3, 2
2021/11/9, 82, 54, 31, 18, 4, 1
2021/11/10, 76, 70, 28, 19, 4, 1
2021/11/11, 86, 65, 32, 17, 4, 2
2021/11/12, 87, 59, 30, 20, 4, 2
2021/11/13, 86, 77, 17, 25, 5, 4
2021/11/14, 122, 82, 15, 25, 4, 6
2021/11/15, 135, 111, 8, 30, 6, 8
2021/11/16, 168, 100, 27, 23, 5, 7
2021/11/17, 161, 102, 18, 32, 5, 7
2021/11/18, 166, 98, 17, 32, 5, 8
2021/11/19, 162, 110, 12, 24, 4, 8
2021/11/20, 158, 73, 29, 9, 4, 3
2021/11/21, 71, 119, 15, 22, 4, 5
2021/11/22, 92, 94, 16, 22, 4, 6
2021/11/23, 122, 82, 19, 24, 4, 7
2021/11/24, 130, 87, 21, 24, 5, 6
2021/11/25, 136, 98, 12, 30, 6, 8
2021/11/26, 155, 148, 2, 36, 6, 12
2021/11/27, 217, 155, 26, 29, 6, 12
2021/11/28, 230, 75, 27, 9, 4, 5
2021/11/29, 84, 53, 23, 18, 5, 4
2021/11/30, 80, 78, 14, 24, 5, 5
2021/12/1, 121, 77, 24, 20, 4, 5
2021/12/2, 121, 79, 14, 24, 5, 6
2021/12/3, 120, 88, 20, 23, 5, 6
2021/12/4, 143, 100, 13, 32, 5, 7
2021/12/5, 158, 108, 16, 29, 5, 7
2021/12/6, 168, 127, 4, 29, 5, 8
2021/12/7, 164, 91, 6, 24, 5, 7
2021/12/8, 153, 118, 10, 30, 4, 10
2021/12/9, 189, 124, 6, 29, 3, 10
2021/12/10, 203, 59, 22, 11, 3, 5
2021/12/11, 121, 50, 21, 13, 3, 3
2021/12/12, 81, 71, 13, 22, 3, 6
2021/12/13, 124, 78, 20, 21, 3, 8
2021/12/14, 158, 99, 2, 30, 3, 9
2021/12/15, 175, 65, 19, 19, 3, 5
2021/12/16, 104, 61, 19, 18, 2, 4
2021/12/17, 75, 55, 25, 20, 3, 5
2021/12/18, 86, 56, 17, 24, 3, 6
2021/12/19, 104, 49, 21, 22, 3, 6
2021/12/20, 94, 59, 19, 27, 4, 8
2021/12/21, 115, 86, 18, 29, 4, 9
2021/12/22, 163, 95, 20, 22, 4, 10
2021/12/23, 177, 107, 27, 17, 4, 12
2021/12/24, 193, 56, 17, 9, 3, 8
2021/12/25, 124, 37, 23, 7, 3, 7
2021/12/26, 87, 47, 20, 8, 3, 8
2021/12/27, 117, 60, 28, 8, 3, 9
2021/12/28, 151, 56, 32, 9, 3, 9
2021/12/29, 125, 62, 27, 10, 4, 9
2021/12/30, 136, 77, 26, 13, 4, 11
2021/12/31, 166, 65, 35, 11, 4, 10
2022/1/1, 149, 97, 30, 17, 4, 14
2022/1/2, 181, 94, 32, 14, 5, 16
2021/7/1, 59, 30, 33, 11, , 3
2021/7/2, 56, 27, 72, 8, 2, 2
2021/7/3, 44, 50, 108, 13, 2, 4
2021/7/4, 82, 43, 74, 14, 2, 5
2021/7/5, 68, 46, 61, 11, 2, 5
2021/7/6, 64, 25, 16, 7, 2, 6
2021/7/7, 57, 53, 131, 18, 3, 21
2021/7/8, 67, 60, 123, 18, 3, 5
2021/7/9, 69, 39, 20, 14, 2, 4
2021/7/10, 56, 18, 57, 5, , 3
2021/7/11, 30, 35, 57, 9, , 2
2021/7/12, 57, 52, 99, 16, 2, 2
