date, pm25, pm10, o3, no2, so2, co
2024/2/18, 39, 11, 28, 17, 1, 2
2024/2/19, 27, 18, 28, 15, 1, 3
2024/2/20, 44, 7, 29, 9, 1, 2
2024/2/21, 29, 6, 28, 9, 1, 2
2024/2/22, 21, 6, 28, 7, 1, 2
2024/2/23, 24, 5, 32, 7, 1, 2
2024/2/24, 26, 6, 26, 7, 1, 2
2024/2/25, 32, 4, 29, 5, , 
2024/2/26, 16, 5, 32, 4, 1, 1
2024/2/27, 16, 5, 34, 5, 1, 1
2024/2/28, 16, 11, 26, 14, 1, 2
2024/2/29, 19, 8, 33, 10, 1, 2
2024/3/1, 1, 4, 34, 4, 1, 2
2024/3/2, 1, 9, 36, 7, 1, 2
2024/3/3, 1, 11, 37, 13, 1, 3
2024/3/4, 19, 8, 32, 13, 1, 2
2024/3/5, 38, 4, 32, 9, 1, 2
2024/3/6, 18, 8, 33, 8, 1, 2
2024/3/7, 32, 8, 29, 13, 1, 2
2024/3/8, 44, 7, 35, 9, , 2
2024/3/9, 36, 4, 36, 4, 1, 
2024/3/10, 17, 9, 29, 16, 1, 2
2024/3/11, 38, 15, 31, 24, 1, 3
2024/3/12, 63, 5, 39, 6, 1, 2
2024/3/13, 20, 13, 37, 21, 1, 3
2024/3/14, 46, 22, 37, 21, 1, 4
2024/3/15, 72, 25, 52, 10, 1, 3
2024/3/16, 74, 18, 54, 9, 1, 2
2024/3/17, 57, 10, 39, 3, 1, 2
2024/3/18, 29, 12, 33, 11, 1, 2
2024/3/19, 46, 11, 38, 11, 1, 2
2024/3/20, 39, 5, 36, 4, 1, 2
2024/3/21, 20, 7, 37, 7, 1, 3
2024/3/22, 29, 9, 25, 15, 1, 2
2024/3/23, 46, 18, 27, 18, 2, 3
2024/3/24, 76, 19, 22, 20, 1, 4
2024/3/25, 74, 9, 34, 17, , 3
2024/3/26, 43, 7, 35, 8, 1, 3
2024/3/27, 30, 12, 34, 19, 1, 3
2024/3/28, 45, 18, 30, 19, 1, 3
2024/3/29, 42, 23, 41, 23, 2, 4
2024/3/30, 60, 28, 53, 9, 1, 3
2024/3/31, 64, 24, 40, 9, 1, 2
2023/10/1, 41, 10, 38, 7, 2, 3
2023/10/2, 33, 10, 38, 11, 1, 2
2023/10/3, 28, 12, 27, 11, 1, 2
2023/10/4, 24, 10, 34, 13, 1, 2
2023/10/5, 35, 7, 32, 5, 1, 
2023/10/6, 24, 8, 34, 4, 1, 3
2023/10/7, 28, 9, 29, 5, 1, 2
2023/10/8, 32, 4, 22, 5, , 2
2023/10/9, 14, 6, 30, 13, 1, 2
2023/10/10, 16, 9, 36, 7, 1, 2
2023/10/11, 31, 12, 34, 9, 1, 2
2023/10/12, 41, 11, 37, 8, 1, 2
2023/10/13, 41, 13, 37, 15, 1, 3
2023/10/14, 46, 13, 30, 10, , 4
2023/10/15, 37, 10, 41, 16, 1, 3
2023/10/16, 32, 10, 37, 10, 1, 2
2023/10/17, 34, 13, 30, 14, 1, 3
2023/10/18, 45, 15, 41, 16, 1, 3
2023/10/19, 52, 17, 32, 15, 1, 3
2023/10/20, 54, 4, 29, 5, 1, 5
2023/10/21, 16, 5, 30, 6, 1, 2
2023/10/22, 17, 11, 26, 16, 1, 3
2023/10/23, 41, 13, 34, 14, 1, 3
2023/10/24, 49, 15, 33, 13, 1, 2
2023/10/25, 51, 14, 35, 16, 1, 3
2023/10/26, 50, 18, 38, 20, 2, 3
2023/10/27, 59, 14, 43, 11, 1, 3
2023/10/28, 50, 4, 31, 4, 1, 2
2023/10/29, 17, 9, 30, 11, 1, 3
2023/10/30, 32, 14, 22, 21, 2, 3
2023/10/31, 50, 18, 32, 22, 3, 3
2023/11/1, 61, 25, 28, 29, 1, 4
2023/11/2, 79, 30, 52, 22, 3, 4
2023/11/3, 85, 29, 40, 21, 1, 4
2023/11/4, 80, 22, 37, 7, 1, 3
2023/11/5, 64, 15, 25, 16, 2, 2
2023/11/6, 45, 16, 27, 10, 1, 3
2023/11/7, 37, 11, 29, 9, 1, 3
2023/11/8, 40, 14, 29, 16, 4, 2
2023/11/9, 49, 22, 12, 27, 1, 4
2023/11/10, 73, 6, 28, 8, 1, 2
2023/11/11, 24, 8, 23, 6, 1, 2
2023/11/12, 34, 4, 29, 7, 1, 2
2023/11/13, 17, 9, 21, 20, 1, 3
2023/11/14, 31, 9, 20, 15, 1, 3
2023/11/15, 36, 12, 26, 15, 1, 3
2023/11/16, 49, 12, 26, 18, 1, 3
2023/11/17, 47, 6, 26, 8, , 2
2023/11/18, 28, 7, 21, 14, 1, 3
2023/11/19, 23, 7, 28, 11, , 3
2023/11/20, 32, 13, 19, 27, 1, 3
2023/11/21, 50, 21, 10, 34, 1, 4
2023/11/22, 74, 18, 25, 23, 1, 4
2023/11/23, 65, 17, 34, 18, 1, 3
2023/11/24, 61, 3, 28, 4, 1, 2
2023/11/25, 16, 7, 24, 7, 1, 2
2023/11/26, 35, 18, 12, 24, 1, 4
2023/11/27, 73, 17, 30, 22, 1, 4
2023/11/28, 75, 9, 25, 14, 1, 3
2023/11/29, 38, 7, 28, 10, 1, 2
2023/11/30, 30, 4, 23, 9, 1, 3
2023/12/1, 15, , , , , 3
2023/12/4, 54, 14, 11, 26, 1, 4
2023/12/5, 64, 11, 25, 19, 1, 3
2023/12/6, 52, 10, 29, 12, 1, 3
2023/12/7, 40, 12, 24, 19, 1, 3
2023/12/8, 46, 21, 21, 32, 1, 4
2023/12/9, 71, 22, , 22, 1, 5
2023/12/10, 73, 19, 25, 14, 1, 2
2023/12/11, 59, 12, 24, 14, , 2
2023/12/12, 50, 5, 29, 9, 1, 2
2023/12/13, 22, 10, 22, 16, 1, 3
2023/12/14, 44, 17, 23, 25, 1, 4
2023/12/15, 64, 21, 27, 21, 1, 4
2023/12/16, 67, 4, 32, 4, 1, 2
2023/12/17, 13, 4, 29, 10, 1, 2
2023/12/18, 18, 10, 17, 19, 1, 3
2023/12/19, 46, 17, 12, 34, 2, 4
2023/12/20, 74, 10, 28, 18, 1, 3
2023/12/21, 46, 6, 28, 13, 1, 2
2023/12/22, 29, 5, 23, 15, 1, 3
2023/12/23, 26, 9, 21, 14, 1, 3
2023/12/24, 47, 15, 15, 30, 1, 4
2023/12/25, 67, 10, 19, 24, 1, 3
2023/12/26, 47, 8, 25, 14, 1, 3
2023/12/27, 35, 12, 24, 12, 1, 3
2023/12/28, 52, 17, 22, 24, 1, 4
2023/12/29, 68, 15, 29, 19, 2, 4
2023/12/30, 62, 17, 29, 16, 1, 4
2023/12/31, 74, 5, 32, 4, 1, 2
2023/7/1, 26, 10, 59, 8, 1, 2
2023/7/2, 33, 23, 60, 20, 2, 4
2023/7/3, 61, 17, 41, 9, 1, 3
2023/7/4, 55, 14, 30, 16, 1, 3
2023/7/5, 46, 13, 43, 13, 1, 2
2023/7/6, 41, 25, 52, 23, 1, 4
2023/7/7, 65, 22, 26, 8, 2, 2
2023/7/8, 57, 22, 19, 4, , 1
2023/7/9, 58, 28, 29, 17, 1, 2
2023/7/10, 68, 23, 45, 18, 1, 3
2023/7/11, 64, 22, 37, 12, 1, 2
2023/7/12, 63, 11, 30, 11, 1, 2
2023/7/13, 42, 20, 41, 20, 1, 3
2023/7/14, 54, 13, 17, 6, , 1
2023/7/15, 36, 17, 29, 14, 2, 2
2023/7/16, 49, 19, 34, 11, 2, 2
2023/7/17, 58, 21, 74, 17, 2, 3
2023/7/18, 63, 27, 35, 20, 1, 3
2023/7/19, 67, 17, 30, 9, 1, 2
2023/7/20, 53, 15, 34, 6, 1, 2
