Voltage(V),Current(A),PD Current(A),J (mA/cm2),L (cd/m2),Cur Eff (cd/A),Power Eff (lm/W),EQE(%),CIE X,CIE Y,Wav (nm),Intensity (au)
,,,,,,,,,,435.4,2.231e-06
,,,,,,,,,,435.7,2.142e-05
,,,,,,,,,,436.1,1.027e-05
,,,,,,,,,,436.4,7.588e-06
,,,,,,,,,,436.8,3.57e-06
,,,,,,,,,,437.1,1.339e-06
,,,,,,,,,,437.5,2.677e-06
,,,,,,,,,,437.9,6.249e-06
,,,,,,,,,,438.2,4.462e-07
,,,,,,,,,,438.6,2.677e-06
,,,,,,,,,,438.9,1.741e-05
,,,,,,,,,,439.3,6.695e-06
,,,,,,,,,,439.6,1.071e-05
,,,,,,,,,,440.0,1.785e-06
,,,,,,,,,,440.3,8.48e-06
,,,,,,,,,,440.7,4.016e-06
,,,,,,,,,,441.0,3.124e-06
,,,,,,,,,,441.4,2.231e-06
,,,,,,,,,,441.8,8.925e-07
,,,,,,,,,,442.1,8.48e-06
,,,,,,,,,,442.5,1.384e-05
,,,,,,,,,,442.8,8.48e-06
,,,,,,,,,,443.2,1.741e-05
,,,,,,,,,,443.5,1.16e-05
,,,,,,,,,,443.9,5.357e-06
,,,,,,,,,,444.2,4.462e-07
,,,,,,,,,,444.6,2.231e-06
,,,,,,,,,,445.0,3.124e-06
,,,,,,,,,,445.3,1.205e-05
,,,,,,,,,,445.7,8.925e-07
,,,,,,,,,,446.0,3.124e-06
,,,,,,,,,,446.4,1.785e-06
,,,,,,,,,,446.7,1.473e-05
,,,,,,,,,,447.1,1.071e-05
,,,,,,,,,,447.5,1.785e-05
,,,,,,,,,,447.8,4.462e-07
,,,,,,,,,,448.2,4.016e-06
,,,,,,,,,,448.5,1.205e-05
,,,,,,,,,,448.9,2.677e-06
,,,,,,,,,,449.2,1.785e-05
,,,,,,,,,,449.6,5.357e-06
,,,,,,,,,,449.9,8.034e-06
,,,,,,,,,,450.3,6.249e-06
,,,,,,,,,,450.6,1.339e-06
,,,,,,,,,,451.0,2.231e-06
,,,,,,,,,,451.4,7.588e-06
,,,,,,,,,,451.7,1.919e-05
,,,,,,,,,,452.1,4.464e-06
,,,,,,,,,,452.4,8.034e-06
,,,,,,,,,,452.8,7.142e-06
,,,,,,,,,,453.1,8.034e-06
,,,,,,,,,,453.5,1.116e-05
,,,,,,,,,,453.8,1.16e-05
,,,,,,,,,,454.2,1.785e-06
,,,,,,,,,,454.5,7.588e-06
,,,,,,,,,,454.9,8.48e-06
,,,,,,,,,,455.2,5.803e-06
,,,,,,,,,,455.6,1.339e-05
,,,,,,,,,,456.0,6.695e-06
,,,,,,,,,,456.3,4.91e-06
,,,,,,,,,,456.7,2.677e-06
,,,,,,,,,,457.0,7.142e-06
,,,,,,,,,,457.4,2.231e-06
,,,,,,,,,,457.7,6.695e-06
,,,,,,,,,,458.1,1.651e-05
,,,,,,,,,,458.4,7.588e-06
,,,,,,,,,,458.8,4.462e-07
,,,,,,,,,,459.1,1.116e-05
,,,,,,,,,,459.5,5.357e-06
,,,,,,,,,,459.9,5.803e-06
,,,,,,,,,,460.2,6.695e-06
,,,,,,,,,,460.6,2.677e-06
,,,,,,,,,,460.9,1.741e-05
,,,,,,,,,,461.3,4.464e-06
,,,,,,,,,,461.6,3.124e-06
,,,,,,,,,,462.0,2.677e-06
,,,,,,,,,,462.3,4.91e-06
,,,,,,,,,,462.7,2.677e-06
,,,,,,,,,,463.0,2.677e-06
,,,,,,,,,,463.4,8.034e-06
,,,,,,,,,,463.8,1.027e-05
,,,,,,,,,,464.1,1.875e-05
,,,,,,,,,,464.5,4.462e-07
,,,,,,,,,,464.8,0.0
,,,,,,,,,,465.2,2.231e-06
,,,,,,,,,,465.5,5.803e-06
,,,,,,,,,,465.9,1.384e-05
,,,,,,,,,,466.2,1.518e-05
,,,,,,,,,,466.6,5.357e-06
,,,,,,,,,,466.9,0.0
,,,,,,,,,,467.3,2.053e-05
,,,,,,,,,,467.6,1.428e-05
,,,,,,,,,,468.0,1.785e-06
,,,,,,,,,,468.3,5.357e-06
,,,,,,,,,,468.7,3.124e-06
,,,,,,,,,,469.0,9.819e-06
,,,,,,,,,,469.4,2.231e-06
,,,,,,,,,,469.8,8.927e-06
,,,,,,,,,,470.1,8.927e-06
,,,,,,,,,,470.5,1.785e-06
,,,,,,,,,,470.8,4.016e-06
,,,,,,,,,,471.2,2.231e-06
,,,,,,,,,,471.5,2.231e-06
,,,,,,,,,,471.9,1.16e-05
,,,,,,,,,,472.2,0.0
,,,,,,,,,,472.6,6.695e-06
,,,,,,,,,,472.9,8.48e-06
,,,,,,,,,,473.3,1.428e-05
,,,,,,,,,,473.6,5.803e-06
,,,,,,,,,,474.0,9.819e-06
,,,,,,,,,,474.3,8.034e-06
,,,,,,,,,,474.7,8.927e-06
,,,,,,,,,,475.0,8.925e-07
,,,,,,,,,,475.4,6.695e-06
,,,,,,,,,,475.7,0.0
,,,,,,,,,,476.1,4.016e-06
,,,,,,,,,,476.5,1.339e-06
,,,,,,,,,,476.8,2.231e-06
,,,,,,,,,,477.1,9.373e-06
,,,,,,,,,,477.5,2.499e-05
,,,,,,,,,,477.9,2.677e-06
,,,,,,,,,,478.2,4.464e-06
,,,,,,,,,,478.6,2.231e-06
,,,,,,,,,,478.9,1.339e-06
,,,,,,,,,,479.3,4.464e-06
,,,,,,,,,,479.6,8.925e-07
,,,,,,,,,,480.0,8.48e-06
,,,,,,,,,,480.3,4.91e-06
,,,,,,,,,,480.7,8.48e-06
,,,,,,,,,,481.0,1.384e-05
,,,,,,,,,,481.4,8.034e-06
,,,,,,,,,,481.7,1.428e-05
,,,,,,,,,,482.1,4.464e-06
,,,,,,,,,,482.4,0.0
,,,,,,,,,,482.8,1.875e-05
,,,,,,,,,,483.1,9.819e-06
,,,,,,,,,,483.5,1.696e-05
,,,,,,,,,,483.8,7.588e-06
,,,,,,,,,,484.2,1.205e-05
,,,,,,,,,,484.5,5.803e-06
,,,,,,,,,,484.9,1.16e-05
,,,,,,,,,,485.2,1.116e-05
,,,,,,,,,,485.6,2.677e-06
,,,,,,,,,,485.9,1.116e-05
,,,,,,,,,,486.3,0.0
,,,,,,,,,,486.6,4.462e-07
,,,,,,,,,,487.0,4.462e-07
,,,,,,,,,,487.4,2.231e-06
,,,,,,,,,,487.7,4.016e-06
,,,,,,,,,,488.0,7.142e-06
,,,,,,,,,,488.4,6.249e-06
,,,,,,,,,,488.8,4.016e-06
,,,,,,,,,,489.1,3.57e-06
,,,,,,,,,,489.5,7.588e-06
,,,,,,,,,,489.8,1.785e-06
,,,,,,,,,,490.2,4.462e-07
,,,,,,,,,,490.5,8.034e-06
,,,,,,,,,,490.9,6.695e-06
,,,,,,,,,,491.2,4.016e-06
,,,,,,,,,,491.6,8.034e-06
,,,,,,,,,,491.9,4.462e-07
,,,,,,,,,,492.3,4.91e-06
,,,,,,,,,,492.6,6.695e-06
,,,,,,,,,,493.0,2.677e-06
,,,,,,,,,,493.3,1.116e-05
,,,,,,,,,,493.7,2.187e-05
,,,,,,,,,,494.0,3.57e-06
,,,,,,,,,,494.4,8.927e-06
,,,,,,,,,,494.7,8.034e-06
,,,,,,,,,,495.1,1.785e-06
,,,,,,,,,,495.4,1.339e-05
,,,,,,,,,,495.8,1.027e-05
,,,,,,,,,,496.1,2.053e-05
,,,,,,,,,,496.5,2.677e-06
,,,,,,,,,,496.8,2.231e-06
,,,,,,,,,,497.2,5.357e-06
,,,,,,,,,,497.5,1.071e-05
,,,,,,,,,,497.9,5.803e-06
,,,,,,,,,,498.2,1.339e-06
,,,,,,,,,,498.6,1.16e-05
,,,,,,,,,,498.9,1.071e-05
,,,,,,,,,,499.3,1.607e-05
,,,,,,,,,,499.6,2.677e-06
,,,,,,,,,,500.0,8.034e-06
,,,,,,,,,,500.3,3.57e-06
,,,,,,,,,,500.7,1.071e-05
,,,,,,,,,,501.0,5.803e-06
,,,,,,,,,,501.4,6.695e-06
,,,,,,,,,,501.7,1.116e-05
,,,,,,,,,,502.1,2.053e-05
,,,,,,,,,,502.4,1.071e-05
,,,,,,,,,,502.8,2.677e-06
,,,,,,,,,,503.1,8.48e-06
,,,,,,,,,,503.5,6.249e-06
,,,,,,,,,,503.8,1.205e-05
,,,,,,,,,,504.2,1.785e-06
,,,,,,,,,,504.5,3.57e-06
,,,,,,,,,,504.9,8.48e-06
,,,,,,,,,,505.2,6.249e-06
,,,,,,,,,,505.5,4.462e-07
,,,,,,,,,,505.9,9.819e-06
,,,,,,,,,,506.2,7.142e-06
,,,,,,,,,,506.6,1.205e-05
,,,,,,,,,,507.0,9.373e-06
,,,,,,,,,,507.3,1.339e-05
,,,,,,,,,,507.6,2.142e-05
,,,,,,,,,,508.0,8.927e-06
,,,,,,,,,,508.4,3.124e-06
,,,,,,,,,,508.7,1.785e-05
,,,,,,,,,,509.0,7.588e-06
,,,,,,,,,,509.4,3.57e-06
,,,,,,,,,,509.7,4.462e-07
,,,,,,,,,,510.1,2.677e-06
,,,,,,,,,,510.4,8.925e-07
,,,,,,,,,,510.8,2.677e-06
,,,,,,,,,,511.1,7.142e-06
,,,,,,,,,,511.5,1.027e-05
